state,names,flags,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12
AC,Acre,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Bandeira_do_Acre.svg/180px-Bandeira_do_Acre.svg.png,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.05,0.11,0.17,0.22,0.22,0.25,0.32,0.35,0.37,0.40,0.40,0.42,0.44,0.44,0.49,0.53,0.55,0.55,0.55,0.55,0.57,0.68,0.68,0.68,0.68,0.68,0.98,1.01,1.07,1.11,1.13,1.13,1.14,1.19,1.22,1.24,1.27,1.28,1.29,1.30,1.32,1.32,1.34,1.42,1.43,1.47,1.47,1.39,1.53,1.53,1.53,1.67,1.78,1.86,1.93,2.01,2.04,2.14,2.24,2.40,2.40,2.44,2.50,2.50,2.51,2.51,2.67,2.67,2.67,2.67,2.91,3.05,3.12,3.38,3.58,3.58,3.77,4.15,4.15,4.15,4.32,4.35,4.38,4.38,4.72,4.79,4.88,4.88,4.88,4.99,4.99,4.99,5.31,5.31,5.38,5.48,5.50,5.58,5.64,5.69,5.86,5.98,6.08,6.12,6.12,6.33,6.41,6.41,6.50,6.52,6.52,6.66,6.75,6.75,7.03,7.13,7.13,7.13,7.15,7.28,7.33,7.38,7.42,7.43,7.43,7.50,7.56,7.64,7.73,8.06,8.08,8.12,8.33,8.92,9.18,9.35,9.51,9.58,9.93,10.23,10.39,10.39,11.16,11.16,11.16,11.38,11.38,11.66,11.93,12.14,12.32,12.35,12.44,12.69,12.92,13.17,13.33,13.36,13.38,13.46,13.64,14.18,14.18,14.63,14.87,14.87,14.91,14.91,15.61,15.97,16.29,16.29,16.29,16.51,16.85,17.13,17.68,18.17,18.61,18.61,18.61,19.19,19.19,19.96,20.37,20.37,20.75,20.91,21.18,21.47,21.86,22.20,22.51,22.54,22.56,23.00,23.45,23.85,24.25,24.57,24.61,24.65,24.80,25.01,25.29,25.64,26.01,26.06
AL,Alagoas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Bandeira_de_Alagoas.svg/180px-Bandeira_de_Alagoas.svg.png,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.11,0.13,0.13,0.16,0.18,0.20,0.22,0.22,0.22,0.24,0.25,0.90,0.96,1.03,1.06,1.09,1.09,1.10,1.11,1.17,1.22,1.25,1.25,1.28,1.34,1.39,1.43,1.45,1.46,1.46,1.50,1.53,1.55,1.62,1.64,1.65,1.67,1.69,1.70,1.71,1.85,1.87,1.95,1.98,2.00,2.08,2.21,2.41,2.59,2.76,2.85,3.01,3.21,3.57,3.71,3.86,4.19,4.22,4.35,4.37,4.37,4.37,5.18,5.41,5.50,5.57,5.67,5.69,5.78,5.84,5.91,6.03,6.22,6.34,6.48,6.62,6.74,6.75,6.78,6.78,6.87,6.96,7.04,7.10,7.17,7.33,7.41,7.49,7.60,7.72,7.79,7.85,7.90,7.91,8.03,8.11,8.22,8.26,8.31,8.32,8.34,8.39,8.44,8.49,8.53,8.58,8.60,8.62,8.67,8.74,8.80,8.85,8.89,8.92,8.96,9.03,9.15,9.30,9.47,9.60,9.70,9.76,9.87,10.03,10.06,10.33,10.35,10.48,10.62,10.62,10.81,11.10,11.22,11.43,11.54,11.65,12.02,12.27,12.46,12.67,12.67,12.96,13.09,13.20,13.39,13.54,13.67,13.77,13.82,13.82,14.07,14.07,14.23,14.37,14.50,14.65,14.82,14.90,15.11,15.32,15.59,15.78,15.89,15.99,16.17,16.54,16.84,17.11,17.39,17.54,17.73,18.19,18.47,18.85,19.26,19.34,19.63,19.64,21.91,21.91,21.11,21.43,21.73,21.74,22.07,22.41,22.73,23.08,23.41,23.70,23.97,24.09,24.43,24.79,25.06,25.51,25.94,26.17,26.26,26.54,26.65,26.98,27.38,27.77,27.99
AM,Amazonas,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bandeira_do_Amazonas.svg/180px-Bandeira_do_Amazonas.svg.png,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.12,0.15,0.15,0.16,0.28,0.34,0.40,0.51,0.55,0.52,0.65,0.71,0.80,0.96,1.00,1.07,1.12,1.31,1.39,1.39,1.69,1.71,1.89,1.90,2.03,2.13,2.21,2.26,2.35,2.40,2.40,2.46,2.55,2.59,2.67,2.68,2.73,2.73,2.78,2.81,2.83,2.83,2.92,2.96,2.97,2.99,3.04,3.12,3.15,3.16,3.17,3.17,3.40,3.44,3.44,3.44,3.58,3.70,3.69,3.91,4.07,4.25,4.39,4.41,4.68,4.68,4.69,4.85,4.86,5.09,5.29,5.46,5.47,5.50,5.66,5.88,6.11,6.44,6.84,6.84,6.91,7.16,7.40,7.67,7.85,8.02,8.02,8.19,8.52,8.76,8.84,8.88,9.09,9.18,9.29,9.40,9.61,9.67,9.85,10.13,10.14,10.14,10.26,10.40,10.55,10.73,10.90,10.93,10.94,11.01,11.08,11.12,11.13,11.43,11.44,11.54,11.61,11.72,11.84,11.90,11.86,11.88,12.12,12.19,12.22,12.32,12.40,12.41,12.52,12.51,12.54,12.64,12.67,12.74,12.76,12.78,13.11,12.92,12.98,13.05,13.11,13.12,13.14,13.16,13.75,13.79,13.88,13.92,14.02,14.05,14.16,14.16,14.16,14.18,14.68,14.76,14.77,14.85,14.98,15.04,15.17,15.31,15.39,15.39,15.45,15.56,15.79,15.88,16.10,16.23,16.28,16.42,16.70,16.85,16.93,17.12,17.38,17.38,17.44,17.50,17.81,17.98,18.11,18.52,18.55,18.68,18.81,19.02,19.12,19.36,19.85,19.88,20.09,20.37,20.46,20.55,20.84,21.43,22.45,22.66,22.75,23.63,24.20,24.58,24.58,24.59,24.62,24.67,25.39,25.96,26.09,26.14,26.19
AP,Amapá,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Bandeira_do_Amap%C3%A1.svg/180px-Bandeira_do_Amap%C3%A1.svg.png,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.13,0.13,0.15,0.16,0.16,0.16,0.20,0.20,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.38,0.38,0.38,0.38,0.38,0.39,0.40,0.40,0.40,0.41,0.41,0.42,0.43,1.31,1.39,1.40,1.47,1.68,1.68,1.69,1.76,1.76,1.86,1.86,1.86,1.89,1.89,1.93,1.93,1.93,1.93,1.93,2.07,2.14,2.16,2.25,2.25,2.25,2.45,2.45,2.55,2.69,2.69,2.93,2.93,3.02,3.09,3.27,3.27,3.27,3.54,3.77,3.79,3.81,3.81,4.23,4.35,4.43,4.45,4.46,4.52,4.56,4.65,4.72,4.77,4.79,4.79,4.79,4.88,4.97,5.07,5.28,5.31,5.33,5.34,5.73,5.82,5.87,5.97,6.05,6.12,6.12,6.28,6.45,6.66,6.72,6.79,6.79,6.80,6.80,6.83,6.85,6.87,6.89,6.90,6.91,7.01,7.02,7.06,7.11,7.13,7.14,7.14,7.19,7.19,7.26,7.27,7.28,7.32,7.33,7.35,7.48,7.55,7.63,7.64,7.64,7.64,7.70,7.99,7.99,8.24,8.32,8.32,8.37,8.39,8.66,8.93,8.94,8.98,9.12,9.23,9.36,9.77,9.90,10.02,10.13,10.13,10.20,10.26,10.38,10.42,10.54,10.66,10.71,10.74,10.76,10.86,10.94,11.03,11.10,11.10,11.16,11.34,11.49,11.65,11.78,11.85,11.87,11.92,12.03,12.15,12.39,12.63,12.77,12.80,12.80,12.98,13.09,13.24,13.44,13.68,13.68,13.81,14.17,14.34,14.60,15.02,15.29,15.31,15.31,15.57,15.72,16.08,16.57,17.10,17.13,17.13,17.69,17.70,18.11,18.43,18.66,18.68
BA,Bahia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Bandeira_da_Bahia.svg/180px-Bandeira_da_Bahia.svg.png,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.15,0.25,0.31,0.33,0.39,0.47,0.55,0.60,0.64,0.66,0.66,0.79,0.83,0.89,0.95,1.04,1.09,1.10,1.16,1.24,1.44,1.57,1.64,1.72,1.75,1.78,1.83,1.87,1.90,1.92,1.94,1.95,1.97,2.00,2.00,2.03,2.05,2.05,2.06,2.08,2.10,2.11,2.15,2.17,2.21,2.23,2.26,2.54,2.54,2.57,2.71,2.86,2.95,2.99,3.23,3.40,3.64,3.85,4.06,4.18,4.30,4.61,4.89,5.18,5.58,5.79,5.85,5.96,6.47,6.86,7.16,7.35,7.41,7.45,7.64,7.83,7.98,8.14,8.32,8.37,8.41,8.45,8.59,8.69,8.75,8.85,8.88,9.07,9.23,9.30,9.37,9.55,9.64,9.68,9.69,9.75,9.76,9.91,10.06,10.11,10.19,10.21,10.25,10.31,10.40,10.45,10.46,10.49,10.50,10.53,10.59,10.63,10.66,10.73,10.77,10.78,10.80,10.90,11.00,11.12,11.29,11.39,11.41,11.44,11.58,11.77,11.84,11.94,12.19,12.28,12.42,12.72,12.85,13.07,13.10,13.20,13.23,13.37,13.66,13.92,14.22,14.40,14.47,14.60,14.66,14.85,15.12,15.34,15.42,15.64,15.68,15.78,16.15,16.43,16.69,16.91,17.12,17.31,17.43,17.75,18.12,18.37,18.59,18.76,18.85,18.94,19.29,19.68,20.11,20.35,20.58,20.62,20.71,21.03,21.40,21.80,22.09,22.27,22.34,22.59,22.76,23.19,23.38,23.71,24.03,24.09,24.18,24.42,24.81,25.16,25.58,25.80,25.87,25.97,26.46,26.80,27.18,27.69,27.83,27.95,28.30,28.42,28.57,29.07,29.56,29.81,30.15
CE,Ceará,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Bandeira_do_Cear%C3%A1.svg/180px-Bandeira_do_Cear%C3%A1.svg.png,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.04,0.17,0.23,0.29,0.48,0.48,0.48,0.54,0.59,0.64,0.88,0.94,0.94,0.94,1.03,1.06,1.13,1.20,1.24,1.24,1.24,1.43,1.52,1.59,1.68,1.76,1.76,1.76,1.84,1.93,1.98,2.00,2.06,2.06,2.06,2.09,2.11,2.18,2.23,2.25,2.25,2.25,2.33,2.39,2.44,2.46,2.48,2.48,2.48,2.55,2.67,2.71,2.93,3.17,3.17,3.17,3.46,3.74,3.93,4.12,4.33,4.33,4.33,4.76,5.20,5.48,5.60,5.90,5.90,5.90,6.45,6.63,6.83,7.43,7.64,7.64,7.64,7.83,7.98,8.08,8.17,8.27,8.27,8.27,9.06,9.17,9.25,9.31,9.37,9.37,9.37,9.45,9.92,10.05,10.13,10.28,10.28,10.28,10.43,10.58,10.63,10.64,10.70,10.70,10.70,10.78,11.14,11.90,11.91,11.91,11.91,11.91,11.88,11.87,11.87,11.90,11.92,11.92,11.92,11.92,11.91,11.91,11.88,11.90,11.90,11.90,11.88,11.89,11.90,11.88,11.72,11.72,11.72,11.84,12.12,12.48,12.70,12.94,12.94,12.94,13.12,13.17,13.30,13.52,13.84,13.84,13.84,14.43,14.59,15.09,15.17,15.26,15.26,15.26,15.70,15.85,16.14,17.93,16.49,16.49,16.49,16.65,17.01,17.23,17.41,17.55,17.55,17.55,17.71,17.85,18.87,19.02,19.19,19.19,19.19,19.97,20.15,20.46,20.64,20.79,20.79,20.79,21.80,22.05,22.28,22.49,22.74,22.74,22.74,23.76,23.98,24.21,24.42,24.78,24.78,24.78,26.19,26.59,26.83,27.11,27.62,27.62,27.62,27.84,27.84,29.01,29.44,30.45,30.45,30.45
DF,Federal District,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Bandeira_do_Distrito_Federal_%28Brasil%29.svg/180px-Bandeira_do_Distrito_Federal_%28Brasil%29.svg.png,0.00,0.00,0.00,0.02,0.07,0.15,0.24,0.32,0.32,0.32,0.32,0.32,0.37,0.49,0.49,0.64,0.64,0.78,0.93,1.16,1.27,1.42,1.42,1.42,1.61,1.73,1.78,1.84,1.90,1.90,1.90,1.95,2.01,2.07,2.12,2.15,2.16,2.16,2.17,2.18,2.20,2.23,2.26,2.26,2.26,2.29,2.31,2.32,2.35,2.38,2.38,2.49,2.49,2.49,2.53,2.67,2.67,2.67,2.67,2.77,2.86,2.96,3.14,3.24,3.28,3.29,3.42,3.58,3.80,4.20,4.45,4.60,4.61,5.23,5.75,5.84,6.26,6.81,6.98,7.04,7.40,7.74,7.95,8.08,8.22,8.25,8.28,8.60,8.87,8.87,9.09,9.14,9.15,9.15,9.23,9.34,9.38,9.46,9.52,9.55,9.57,9.64,9.69,9.76,9.82,9.93,9.94,9.94,10.04,10.12,10.24,10.36,10.45,10.45,10.46,10.51,10.59,11.09,11.09,10.79,10.79,10.79,10.70,10.72,10.73,10.73,10.74,10.74,10.74,10.75,10.75,10.76,10.78,10.82,10.83,10.83,10.87,10.90,10.93,10.95,10.97,11.06,11.25,11.52,11.61,11.65,11.72,11.82,11.83,11.83,11.89,11.95,12.09,12.32,12.78,12.88,12.97,13.20,13.40,13.50,13.85,14.21,14.32,14.38,14.80,15.17,15.37,15.72,16.26,16.40,16.58,16.96,17.52,17.97,18.47,18.98,19.28,19.41,19.86,20.22,20.47,20.74,20.97,21.07,21.10,21.40,21.67,22.00,22.29,22.56,22.65,22.70,22.95,23.18,23.40,23.87,24.38,24.52,24.60,25.07,25.46,25.85,26.35,26.76,26.85,26.88,27.15,27.89,28.45,28.96,29.33,29.42,29.48,29.91,29.93,31.05,32.40,33.30,33.44,33.54
ES,Espirito Santo,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Bandeira_do_Esp%C3%ADrito_Santo.svg/180px-Bandeira_do_Esp%C3%ADrito_Santo.svg.png,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.11,0.11,0.25,0.34,0.39,0.47,0.53,0.53,0.53,0.64,0.70,0.76,0.82,0.85,0.85,0.85,1.04,1.07,1.12,1.22,1.34,1.34,1.34,1.43,1.51,1.57,1.64,1.67,1.67,1.67,1.77,1.84,1.91,1.96,2.04,2.04,2.04,2.14,2.16,2.18,2.28,2.31,2.31,2.32,2.36,2.45,2.52,2.62,2.62,2.81,2.82,2.84,2.88,3.06,3.18,3.27,3.61,3.66,3.72,3.86,3.86,3.87,4.68,5.14,5.19,5.32,5.54,5.75,5.96,6.11,6.20,6.20,6.25,6.39,6.45,6.57,6.66,6.66,6.66,6.67,6.77,6.90,6.99,7.06,7.06,7.21,7.34,7.50,7.76,8.03,8.32,8.32,9.05,9.19,9.47,9.67,9.91,10.05,10.17,10.28,10.32,10.44,10.55,10.55,10.81,10.90,10.97,10.98,11.04,11.14,11.20,11.27,11.34,11.38,11.38,11.43,11.47,11.54,11.59,11.65,11.79,11.80,11.92,12.08,12.30,12.75,12.75,12.94,12.94,13.99,14.26,14.46,14.77,14.85,14.86,15.06,15.40,16.02,16.30,16.48,16.69,16.97,17.03,17.09,17.09,17.20,17.51,17.64,17.75,17.81,18.04,18.37,18.60,19.03,19.29,19.45,19.52,19.78,20.10,20.25,20.62,21.10,21.33,21.49,21.78,22.12,22.46,22.78,23.00,23.12,23.23,23.53,23.72,23.93,25.37,25.92,26.07,26.46,26.83,27.31,27.72,28.17,28.42,28.43,28.85,29.40,29.95,30.27,31.08,32.00,32.05,32.05,33.11,33.73,34.34,35.00,35.43,35.43,35.68,35.71,36.34,36.92,37.48,37.88,37.92
GO,Goiás,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_Goi%C3%A1s.svg/180px-Flag_of_Goi%C3%A1s.svg.png,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.08,0.15,0.23,0.26,0.27,0.34,0.41,0.45,0.54,0.60,0.61,0.62,0.64,0.67,0.74,0.77,0.81,0.82,0.83,0.84,0.87,0.95,0.99,1.07,1.12,1.12,1.18,1.25,1.33,1.40,1.45,1.47,1.47,1.51,1.57,1.60,1.63,1.67,1.69,1.69,1.71,1.71,1.73,1.79,1.79,1.79,1.82,1.84,1.91,1.98,2.13,2.21,2.32,2.44,2.58,2.68,2.84,2.96,3.09,3.30,3.32,3.55,3.55,3.55,3.63,4.27,4.27,4.27,4.27,5.44,5.78,6.18,6.49,6.58,6.58,6.80,6.92,7.13,7.31,7.43,7.43,7.45,7.47,7.61,7.81,7.90,7.98,8.07,8.08,8.16,8.27,8.38,8.43,8.51,8.55,8.69,8.74,8.76,8.94,9.03,9.07,9.08,9.09,9.12,9.16,9.21,9.22,9.24,9.25,9.25,9.30,9.35,9.41,9.44,9.47,9.48,9.48,9.51,9.54,9.57,9.63,9.66,9.67,9.67,9.70,9.74,9.80,9.84,9.90,9.91,9.91,9.94,10.05,10.48,10.62,10.73,10.76,10.77,10.86,10.92,11.20,11.30,11.30,11.71,11.79,12.01,12.28,12.51,12.81,13.12,13.26,13.34,13.57,13.66,14.14,14.48,14.69,14.80,14.84,15.14,15.55,15.93,16.29,16.50,16.64,16.65,16.92,17.21,17.50,17.84,18.12,18.19,18.23,18.45,18.63,19.24,19.26,19.60,19.93,19.93,19.94,20.77,20.78,21.13,21.13,21.51,21.51,22.13,22.87,22.89,23.34,23.82,24.33,24.53,24.57,25.08,25.64,26.21,26.77,27.38,27.61,27.68,27.82,27.88,28.51,29.14,29.71,29.88
MA,Maranhão,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Bandeira_do_Maranh%C3%A3o.svg/180px-Bandeira_do_Maranh%C3%A3o.svg.png,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.11,0.11,0.11,0.15,0.15,0.21,0.26,0.26,0.31,0.31,0.31,0.52,0.65,0.68,0.69,0.69,0.69,0.72,0.73,0.79,0.79,0.86,0.86,0.89,0.89,0.92,1.03,0.99,1.05,1.07,1.07,1.09,1.12,1.16,1.19,1.24,1.24,1.24,1.29,1.33,1.37,1.41,1.46,1.47,1.47,1.53,1.55,1.58,1.64,1.64,1.68,1.68,1.71,1.78,1.78,2.15,2.04,2.11,2.14,2.19,2.31,2.53,2.74,2.91,2.95,3.11,3.22,3.40,3.52,3.68,4.02,4.22,4.29,4.40,4.58,4.94,5.27,5.53,5.62,5.69,5.75,5.91,6.04,6.17,6.28,6.33,6.33,6.36,6.42,6.48,6.53,6.60,6.65,6.65,6.66,6.73,6.76,6.85,6.92,6.99,6.99,7.05,7.15,7.24,7.32,7.37,7.42,7.42,7.45,7.48,7.56,7.61,7.66,7.68,7.66,7.70,7.77,7.81,7.86,7.88,7.91,7.92,7.94,7.97,8.00,8.06,8.13,8.14,8.14,8.19,8.23,8.32,8.41,8.54,8.63,8.64,8.66,8.78,8.91,8.98,9.33,9.49,9.50,9.60,9.77,10.01,10.25,10.44,10.55,10.62,10.72,10.90,11.21,11.52,11.82,11.97,12.00,12.08,12.27,12.49,12.84,13.16,13.37,13.44,13.62,13.86,14.10,14.26,14.37,14.64,14.64,14.80,15.01,15.46,15.77,16.18,16.26,16.27,16.56,16.76,16.78,17.26,17.42,17.50,17.51,17.54,17.92,18.04,18.38,18.81,19.03,19.04,19.18,19.52,19.75,20.29,20.63,20.88,20.96,21.12,21.47,21.91,22.37,22.94,23.14,23.54,23.74,23.79,24.16,25.00,25.55,25.73,26.11
