state,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06
AC,0.000,0.000,0.000,0.000,0.000,0.000,1.351,1.378,1.377,1.412,1.426,1.448,1.589,1.673,1.773,1.827,1.859,1.878,1.964,2.007,2.060,2.133,2.133,2.203,2.255,2.255,2.375,2.556,2.706,2.782,2.837,2.847,2.909,3.127,3.127,3.127,3.127,3.127,3.810,4.072,4.195,4.304,4.412,4.442,4.455,4.489,4.528,4.582,4.751,4.902,5.006,5.045,5.174,5.208,5.267,5.720,5.810,6.204,6.204,5.568,6.815,6.815,6.815,7.848,8.183,8.274,8.508,8.752,8.844,8.985,9.083,9.282,9.280,9.384,9.619,9.618,9.642,9.642,9.950,9.950,9.949,9.950,10.301,10.413,10.487,10.540,10.595,10.594,10.635,10.834,10.834,10.834,11.010,11.059,11.075,11.075,11.502,11.736,11.935,11.935,11.935,12.222,12.222,12.222,13.236,13.236,13.816,14.035,14.106,14.359,14.576,14.741,14.933,15.155,15.253,15.291,15.292,15.559,15.673,15.673,15.883,15.924,15.924,16.307,16.546,16.546,17.105,17.567,17.567,17.567,17.784,18.374,19.308,20.168,21.068,21.832,21.832,23.268,24.526,25.683,26.308,27.302,27.459,27.554,28.137,29.101,29.503,30.200,30.789,30.960,31.362,32.463,33.093,33.093,34.499,34.499,34.499,35.223,35.223,36.303,36.596,36.877,37.035,37.062,37.369,38.093,38.514,38.899,39.421,39.806,40.071,40.562,41.045,42.071,42.071,42.912,43.437,43.524,43.700,43.700,45.082,45.460,45.829
AL,0.000,0.000,0.000,0.000,0.000,2.164,2.236,2.292,2.292,2.292,2.292,2.292,2.292,2.589,2.589,2.662,2.662,2.691,2.691,2.703,2.709,2.770,2.822,2.844,2.934,2.966,3.242,3.444,3.575,3.635,3.644,3.725,2.684,2.723,2.911,3.114,3.256,3.293,3.368,3.558,3.740,3.970,4.241,4.405,4.495,4.766,4.946,5.227,5.842,6.114,6.367,6.635,6.780,6.841,6.948,7.519,7.597,7.910,8.156,8.383,8.891,9.591,10.297,10.529,10.888,11.101,11.276,11.453,11.827,11.930,12.037,12.240,12.315,12.418,12.430,12.430,12.431,12.921,12.993,13.033,13.107,13.198,13.278,13.313,13.392,13.473,13.525,13.585,13.694,13.829,14.005,14.205,14.259,14.411,14.458,14.751,15.037,15.348,15.610,15.935,16.160,16.447,16.737,17.147,17.688,17.922,18.112,18.376,18.537,18.943,19.317,19.743,19.994,20.280,20.439,20.668,21.033,21.259,21.669,21.950,22.261,22.615,22.769,23.041,23.315,23.580,24.024,24.406,24.622,24.729,24.973,25.284,25.622,25.898,26.082,26.315,26.506,26.784,27.501,27.604,28.532,28.664,29.070,29.402,29.402,30.089,30.719,30.983,31.541,31.961,32.208,32.771,33.363,33.837,34.262,34.262,34.854,35.180,35.341,35.727,35.952,36.131,36.359,36.571,36.571,36.987,36.987,37.377,37.890,38.252,38.439,38.659,38.788,39.079,39.447,40.105,40.577,40.984,41.061,41.243,42.127,42.620,43.107
AM,0.000,0.000,0.000,0.000,0.000,0.000,4.168,4.495,4.627,4.677,4.709,4.832,4.886,4.998,5.105,5.135,5.172,5.209,5.291,5.377,5.575,5.635,5.689,5.739,5.827,6.056,6.056,6.616,6.638,6.952,7.082,7.329,7.432,7.591,7.787,8.007,8.065,8.094,8.151,8.598,8.912,8.985,9.136,9.187,9.192,9.575,9.616,9.669,9.669,9.839,9.896,9.902,9.916,10.105,10.254,10.344,10.350,10.463,10.484,10.636,10.717,10.717,11.045,11.347,11.571,11.599,11.757,11.968,12.202,12.419,12.490,12.715,12.719,12.765,12.974,13.037,13.350,13.620,13.779,13.794,13.846,14.008,14.163,14.217,14.410,14.451,14.507,14.554,14.618,14.650,14.718,14.790,14.824,14.824,14.881,15.069,15.219,15.316,15.443,15.629,15.636,15.896,16.092,16.239,16.464,16.724,17.047,17.105,17.382,17.710,17.835,18.033,18.272,18.565,18.584,18.641,18.761,18.941,19.015,19.056,19.056,18.946,19.001,19.060,20.535,20.950,21.396,21.424,24.852,26.258,26.332,26.120,26.609,26.890,28.182,28.319,28.794,29.365,29.994,30.447,30.823,31.433,31.821,32.200,33.169,34.729,35.123,35.287,36.025,36.228,36.648,37.791,38.423,38.848,39.468,39.942,40.246,40.358,40.358,40.358,40.380,41.201,41.287,41.323,42.666,44.489,44.499,44.440,45.361,45.378,45.379,45.394,45.804,46.271,46.515,46.755,46.973,47.007,47.415,47.421,47.538,47.589,47.914
AP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.957,1.957,1.957,1.966,2.244,2.244,2.601,2.719,2.719,2.719,2.806,2.825,2.896,2.896,2.896,2.896,2.905,2.905,2.905,2.978,2.981,2.981,2.981,2.981,3.054,3.001,3.127,3.127,3.265,3.265,3.273,3.278,3.726,3.863,3.865,4.016,4.328,4.328,4.420,4.697,4.757,5.359,5.643,5.643,5.737,5.737,5.875,5.898,5.898,5.898,5.898,6.396,6.569,6.584,6.660,6.660,6.660,6.776,6.833,8.012,8.396,8.396,8.838,8.839,9.115,9.126,9.206,9.206,9.206,9.477,9.617,9.627,9.667,9.667,9.908,10.018,10.108,10.218,10.269,10.349,10.459,10.609,10.850,10.990,11.070,11.140,11.151,11.351,11.592,11.842,12.042,12.333,12.513,12.564,12.834,13.005,13.355,13.596,13.746,13.767,13.777,13.917,14.037,14.262,14.288,14.388,14.388,14.428,14.549,14.649,14.950,15.030,15.311,15.421,15.491,15.792,16.072,16.383,16.684,16.945,17.075,17.145,17.526,17.526,18.458,18.909,19.430,19.581,19.671,20.122,20.473,20.894,21.455,21.856,21.856,21.856,22.077,22.458,22.458,23.262,23.590,23.633,23.934,24.320,24.797,25.235,25.441,25.478,26.113,26.375,26.563,27.349,27.836,28.537,29.123,29.123,29.297,29.856,30.378,30.580,31.322,31.909,31.958,32.284,32.409,33.181,33.818,34.559,35.363,35.363,35.401,36.140,36.897,37.429,37.998
BA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.539,2.572,2.673,2.720,2.776,2.777,2.787,2.798,2.820,2.835,2.886,2.908,2.908,3.093,3.156,3.222,3.355,3.489,3.623,3.644,3.746,3.851,3.977,4.188,4.354,4.474,4.595,4.808,4.956,5.282,5.462,5.756,6.182,6.372,6.502,6.922,7.638,8.132,8.567,8.915,9.202,9.471,10.162,10.757,11.157,11.278,11.372,11.503,11.637,11.844,12.416,12.557,12.722,12.835,12.985,13.042,13.227,13.343,13.448,13.480,13.519,13.668,13.849,14.163,14.373,14.582,14.795,14.928,14.982,15.059,15.529,15.561,15.783,15.890,16.030,16.122,16.340,16.549,16.842,17.192,17.643,17.984,18.148,18.295,18.654,18.927,19.277,19.628,19.788,19.983,20.011,20.280,20.472,20.672,20.927,21.019,21.059,21.349,21.566,21.687,21.825,22.207,22.457,22.557,22.723,23.070,23.437,23.667,23.997,24.261,24.395,24.611,25.093,25.581,26.216,26.700,27.066,27.191,27.567,28.013,28.464,28.792,29.095,29.327,29.536,29.752,30.289,30.987,31.234,31.366,31.716,31.887,32.135,32.779,33.138,33.464,33.964,34.274,34.409,34.901,35.554,36.149,36.682,37.150,37.402,37.615,37.737,38.139,38.404,38.615,38.750,38.932,39.178,39.356,39.788,40.361,40.844,41.341,41.945,41.986,42.207,42.579,43.000,43.403,44.018,44.144,44.199,44.224,44.723,45.256,45.740,46.293
CE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.337,2.337,2.337,2.488,2.555,2.673,2.695,2.828,2.828,2.828,2.861,2.880,2.890,3.469,3.063,3.063,3.063,3.126,3.305,3.416,3.568,3.697,3.697,3.697,3.903,4.024,4.167,4.244,4.338,4.338,4.338,4.537,4.636,4.786,4.916,5.127,5.127,5.127,5.332,5.687,6.187,6.568,7.126,7.126,7.126,7.961,8.510,8.913,9.286,9.532,9.532,9.532,10.416,10.638,11.034,11.128,11.276,11.276,11.276,11.618,11.727,11.884,11.934,12.424,12.424,12.424,12.656,12.946,13.122,13.171,13.322,13.322,13.322,13.821,13.982,14.186,14.379,14.514,14.514,14.514,14.704,14.874,15.021,15.185,15.275,15.275,15.275,15.476,15.650,15.943,16.004,16.061,16.061,16.061,16.136,16.545,16.675,16.814,16.902,16.902,16.902,17.398,17.486,17.585,17.918,18.047,18.047,18.047,18.257,18.932,19.219,19.642,19.866,19.866,19.866,20.294,21.585,21.846,22.224,22.589,22.589,22.589,23.284,24.867,25.289,26.450,27.224,27.224,27.225,28.178,29.117,29.286,30.360,31.635,31.636,31.636,32.900,34.325,35.118,35.824,36.398,36.398,36.398,37.349,37.481,38.176,38.725,39.220,39.220,39.220,39.957,40.278,40.716,40.811,40.942,40.942,40.942,41.217,41.253,41.535,41.535,42.478,42.478,42.478,42.685,43.084,43.210,43.326,43.402,43.402,43.402,43.694,43.951,44.613,44.831,45.230
DF,0.000,0.000,0.000,3.315,3.458,3.507,3.602,3.640,3.640,3.640,3.640,3.640,3.661,3.753,3.753,3.782,3.782,3.823,3.835,3.890,3.926,4.280,4.280,4.280,4.533,4.688,4.728,4.913,5.076,5.097,5.097,5.159,5.193,5.231,5.455,5.561,5.564,5.564,5.571,5.631,5.654,6.170,6.340,6.367,6.381,6.994,7.492,7.691,7.785,8.522,8.879,9.151,9.515,9.771,9.917,9.955,9.955,10.017,10.017,10.241,10.292,10.424,10.432,10.610,10.702,10.708,10.814,10.924,11.006,11.071,11.381,11.722,11.817,12.054,12.170,12.186,12.327,12.662,13.060,13.153,13.515,13.822,13.896,13.941,14.716,14.927,14.982,15.208,15.254,15.255,16.111,16.466,16.746,16.837,17.150,17.471,17.544,17.766,18.089,18.180,18.223,18.372,18.562,18.791,19.058,19.249,19.353,19.385,19.541,19.823,20.001,20.188,20.463,20.558,20.640,21.053,21.447,21.846,21.858,22.310,22.429,22.516,22.664,23.213,23.687,24.160,24.496,24.696,24.858,25.697,26.469,27.149,27.887,28.922,29.126,29.270,29.617,29.970,30.206,30.515,30.724,30.927,31.113,31.759,32.332,32.785,33.081,33.543,33.676,33.817,34.275,34.905,35.535,36.171,36.471,36.316,36.393,36.620,36.984,37.358,37.552,37.595,37.706,37.775,37.985,38.400,38.793,39.261,41.254,42.535,43.038,43.192,43.246,43.268,44.428,44.753,44.773,44.781,44.827,47.299,48.771,49.597,49.928
ES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.437,2.437,2.497,2.507,2.591,2.607,2.607,2.607,2.674,2.737,2.803,2.884,2.911,2.911,2.911,2.951,3.054,3.188,3.367,3.430,3.430,3.430,3.726,3.786,3.850,3.996,4.123,4.123,4.123,4.397,4.545,4.657,4.805,4.921,4.921,4.921,5.431,5.617,5.813,6.034,6.477,6.477,6.477,7.422,7.538,7.666,8.496,8.851,9.061,9.255,9.456,9.887,10.294,11.018,11.018,12.106,12.399,12.458,12.623,13.183,13.588,13.860,14.477,14.630,14.766,15.009,15.009,15.012,15.716,16.008,16.071,16.160,16.341,16.537,16.700,16.842,16.916,16.916,16.968,17.165,17.305,17.452,17.825,17.881,17.881,17.967,18.374,18.721,19.153,19.464,19.464,20.030,20.154,20.524,20.882,21.253,21.509,21.509,21.952,22.022,22.422,22.836,23.314,23.657,23.939,24.202,24.319,24.639,24.961,24.961,26.272,26.812,27.218,27.246,27.670,28.181,28.685,29.270,29.795,30.466,30.566,31.187,31.630,32.322,32.955,33.530,34.375,34.616,35.020,35.563,36.141,36.948,36.948,37.139,37.139,39.002,40.177,40.656,40.616,41.763,41.873,42.236,42.962,43.904,44.407,44.725,45.243,46.318,46.408,46.498,46.498,47.172,47.573,47.710,48.184,48.258,48.527,48.862,49.113,49.626,49.980,50.329,50.495,50.702,50.914,51.003,51.211,51.521,51.837,51.990,52.146,52.470,52.877,53.367
GO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.314,2.492,2.502,2.613,2.622,2.638,2.638,2.638,2.638,2.638,2.640,2.647,2.648,2.648,2.648,2.853,2.895,3.093,3.265,3.413,3.413,3.413,3.529,3.700,3.803,3.867,3.928,3.928,3.928,4.052,4.246,4.366,4.459,4.568,4.568,4.568,4.719,4.974,5.273,5.682,6.049,6.049,6.049,6.392,6.711,6.860,6.860,6.860,6.860,6.860,7.555,7.758,7.966,8.346,8.614,8.614,8.665,8.921,9.116,9.548,9.830,10.000,10.219,10.289,10.575,10.575,10.576,10.668,11.232,11.232,11.232,11.237,12.103,12.323,12.594,12.865,12.963,12.964,13.245,13.422,13.861,14.216,14.468,14.469,14.495,14.505,14.836,15.412,15.712,15.951,16.184,16.201,16.469,16.855,17.262,17.444,17.735,17.952,18.297,18.526,18.571,19.054,19.375,19.700,19.864,19.888,20.164,20.483,20.814,20.904,21.119,21.240,21.268,21.757,22.387,23.030,23.677,24.314,24.554,24.621,25.204,25.679,26.442,27.117,27.593,27.842,27.914,28.465,29.052,29.631,30.074,30.467,30.689,30.726,31.048,31.923,32.356,32.746,33.124,33.254,33.283,33.800,34.088,34.928,35.166,35.167,35.882,35.941,36.379,36.873,37.285,38.869,39.283,39.570,39.684,40.180,40.265,40.960,41.494,41.999,42.201,42.329,42.776,43.307,43.817,44.236,44.541,44.919,44.964,45.407,46.032,46.696,47.245,47.667
MA,0.000,0.000,0.000,0.000,1.291,1.343,1.378,1.417,1.417,1.417,1.440,1.752,1.797,1.840,1.840,1.886,1.886,1.896,1.896,1.928,1.972,2.022,2.022,2.022,2.063,2.107,2.247,2.247,2.587,2.587,2.701,2.758,2.820,2.892,3.001,3.221,3.369,3.369,3.400,3.451,3.514,3.601,3.715,3.715,3.715,3.864,3.972,4.206,4.499,4.719,4.719,4.719,4.958,5.141,5.371,5.737,5.737,6.036,6.036,6.204,6.534,6.534,7.299,7.567,7.878,8.051,8.178,8.431,8.850,9.063,9.308,9.365,9.584,9.756,9.994,10.183,10.344,10.857,11.089,11.158,11.293,11.483,11.717,11.924,12.152,12.247,12.333,12.379,12.650,12.851,13.095,13.365,13.494,13.494,13.627,13.809,14.008,14.427,14.738,14.954,15.011,15.065,15.280,15.490,15.715,15.885,16.053,16.098,16.162,16.322,16.437,16.571,16.686,16.858,16.887,16.994,17.169,17.892,18.312,19.014,19.411,19.602,19.972,20.547,21.230,22.091,22.937,23.418,23.671,23.967,24.725,25.422,26.423,27.366,27.990,28.114,28.806,29.253,29.844,30.347,31.087,31.622,31.838,32.041,32.375,33.064,33.384,34.270,34.764,34.768,34.971,35.227,35.622,36.002,36.365,36.515,36.629,36.743,37.052,37.494,38.003,38.471,38.698,38.751,38.857,39.068,39.149,39.342,39.646,39.925,40.011,40.095,40.635,41.228,41.578,41.778,42.352,42.352,42.677,42.959,43.466,43.675,43.848
